run_id,stage,result_type,model_family,model_id,input_source,crop_policy,selection_protocol,parse_success,schema_valid,accuracy,macro_f1,recall_insulator_ok,recall_defect_flashover,recall_defect_broken,notes
stage3_qwen_val_v2_clean_final,stage3,clean_final,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,gt_crops,gt_crop_pad015,frozen_prompt_clean,1.0,1.0,0.4655,0.2882_eval5 / 0.4804_3class,0.3438,0.6500,0.5000,clean Qwen reporter baseline; 3-class macro from paired script differs from evaluator macro including unknown/other
stage4_context_pad030_maxpix401k,stage4,clean_final,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,detector_pred_crops,pred_context_pad030_maxpix401k,frozen_prompt_clean,1.0,1.0,0.3966_pipeline_correct,nan,nan,nan,nan,best Stage4 actual context crop baseline
stage3_clip_train_selected_clean,stage3_coarse_only,clean_final,clip_linear_probe,CLIP ViT-B/32 + LogisticRegression C=10 balanced,gt_crops,gt_crop_existing,5fold_stratified_train_cv_macro_f1,,,0.5345,0.3713,0.5938,0.6000,0.0000,coarse-only classifier; strongest clean discriminative signal but broken recall zero
stage3_hybrid_hard_clip_qwen,stage3_hybrid,clean_final_partial_system,clip_plus_qwen_reporter,CLIP ViT-B/32 logreg C=10 balanced + Qwen2.5-VL-3B reporter,gt_crops,gt_crop_existing,hard classifier override selected by train CV only,1.0,1.0,0.5345,0.2228_eval5 / 0.3713_3class,0.5938,0.6000,0.0000,improves accuracy but fails full-system gate because broken recall is zero and macro-F1 drops vs Qwen 3-class
stage3_qwen25vl_3b_lora_masked_smoke_clean,stage3_lora,failed_preflight,qwen_lora,Qwen/Qwen2.5-VL-3B-Instruct + LoRA r=8,gt_crops,gt_crop_existing,assistant-only label mask smoke; overfit gate,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,overfit gate failed; repeated punctuation; full val skipped
stage3_qwen25vl_3b_lora_overfit_gate_clean_v25,stage3_lora,smoke_failed_semantic_gate,qwen_lora,Qwen/Qwen2.5-VL-3B-Instruct + LoRA r=4 q_proj/v_proj,gt_crops,gt_crop_existing,assistant-only label mask; 5-sample overfit gate before val,1.0,1.0,0.4000_overfit,not_comparable_overfit_smoke,0.0000_overfit,1.0000_overfit,0.0000_overfit,"parse gate fixed: 5/5 valid JSON; semantic gate failed: 2/5 coarse correct, all predictions collapsed to defect_flashover; full val skipped"
stage4_hybrid_dinov2_qwen_light_pad030,stage4_hybrid,clean_final_candidate,dinov2_linear_probe_plus_qwen_reporter,facebook/dinov2-base LogisticRegression C=0.03 balanced + Qwen2.5-VL-3B reporter,detector_pred_crops,pred_context_pad030_maxpix401k,DINOv2 selected by clean Stage3 backbone sweep; Stage4 run uses frozen detector predictions and Qwen reporter outputs,1.0,1.0,0.4828_pipeline_correct,0.4671_3class / 0.3504_all_with_nan,0.1875,0.9500,0.5000,"strong Stage4 gate pass: 28/58 vs Qwen baseline 23/58; gain comes from flashover recall, but ok precision/recall trade-off remains severe"
stage4_hybrid_dinov2_qwen_policy_pad030_veto034,stage4_hybrid,clean_final_candidate_policy_probe,dinov2_linear_probe_plus_qwen_reporter_policy,facebook/dinov2-base LogisticRegression C=0.03 balanced + Qwen2.5-VL-3B reporter + qwen-ok low-confidence flashover veto,detector_pred_crops,pred_context_pad030_maxpix401k,policy was motivated by prior diagnostic val probe; treat as candidate needing train-CV/pre-registered confirmation before final claim,1.0,1.0,0.5000_pipeline_correct,0.4844_3class / 0.3633_all_with_nan,0.2188,0.9500,0.5000,new best Stage4 candidate: 29/58 vs Qwen baseline 23/58 and hard DINOv2 28/58; improves one ok case while preserving flashover 19/20 and broken 3/6; policy selection needs clean confirmation
stage4_hybrid_dinov2_qwen_traincv_policy_pad030_secondbest035,stage4_hybrid,clean_traincv_policy_candidate,dinov2_linear_probe_plus_qwen_reporter_policy,facebook/dinov2-base LogisticRegression C=0.03 balanced + Qwen2.5-VL-3B reporter + train-CV low-confidence flashover second-best fallback,detector_pred_crops,pred_context_pad030_maxpix401k,threshold 0.35 selected by train OOF macro-F1 before Stage4 val application,1.0,1.0,0.5862_pipeline_correct,0.5922_3class / 0.4441_all_with_nan,0.4688,0.7000,0.8333,"new strongest Stage4 result: 34/58 vs Qwen baseline 23/58; train-CV selected threshold; improves class balance but best-policy prediction jsonl was not packaged, case/eval artifacts are present"
stage3_dinov2_traincv_policy_clean_secondbest035,stage3_coarse_only,clean_traincv_policy_candidate,dinov2_linear_probe_policy,facebook/dinov2-base LogisticRegression C=0.03 balanced + train-CV low-confidence flashover second-best fallback,gt_crops,gt_crop_existing,threshold 0.35 selected by train OOF macro-F1 before Stage3 val application,,,0.5517,0.5766_3class,0.4062,0.6500,1.0000,"clean Stage3 coarse-only control for DINOv2 train-CV policy; improves macro-F1 and broken recall vs hard DINOv2, but still confuses ok/flashover"
stage4_dinov2_packfix_secondbest035,stage4_hybrid,clean_traincv_policy_confirmed,dinov2_linear_probe_plus_qwen_reporter_policy,facebook/dinov2-base LogisticRegression C=0.03 balanced + train-CV flashover second-best fallback + Qwen reporter,detector_pred_crops,pred_context_pad030_maxpix401k,threshold 0.35 selected by train OOF macro-F1; packfix rerun confirms full prediction artifacts,1.0,1.0,0.5862_pipeline_correct,0.5922_3class / 0.4441_all_with_nan,0.4688,0.7000,0.8333,confirmed current Stage4 champion: 34/58 vs Qwen baseline 23/58; full package contains predictions jsonl
