record_id,resolved_image_path,label_coarse_class,dino_top1,dino_top2,dino_top3,dino_top1_score,dino_top2_score,dino_margin,direct_flashover_evidence,evidence_location,claim_supported,possible_confounders,recommend_review,short_reason,selected_policy,selected_policy_decision
train_img11_ann80,outputs/stage10/vlm_topk_inference_manifest/images/train_img11_ann80.jpg,defect_flashover,defect_flashover,defect_broken,insulator_ok,0.7922432030808532,0.1945644263538989,0.5976787767269542,yes,on_insulator,yes,"['shadow', 'glare', 'background', 'blur', 'low_contrast', 'partial_crop']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",P3_vlm_balanced,accept
train_img14_ann101,outputs/stage10/vlm_topk_inference_manifest/images/train_img14_ann101.jpg,defect_flashover,defect_flashover,insulator_ok,defect_broken,0.677116018035215,0.1844086112175108,0.4927074068177042,yes,on_insulator,yes,"['background_or_shadow', 'glare', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",P3_vlm_balanced,accept
train_img20_ann161,outputs/stage10/vlm_topk_inference_manifest/images/train_img20_ann161.jpg,defect_flashover,defect_flashover,insulator_ok,defect_broken,0.4901745385565983,0.397942940831948,0.0922315977246503,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",P3_vlm_balanced,accept
train_img22_ann181,outputs/stage10/vlm_topk_inference_manifest/images/train_img22_ann181.jpg,defect_flashover,defect_flashover,defect_broken,insulator_ok,0.4537032634519806,0.4003728655525677,0.0533303978994129,yes,on_insulator,yes,"['shadow', 'glare', 'background', 'blur', 'low_contrast', 'partial_crop']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",P3_vlm_balanced,accept
train_img23_ann189,outputs/stage10/vlm_topk_inference_manifest/images/train_img23_ann189.jpg,defect_flashover,defect_flashover,insulator_ok,defect_broken,0.9580358995259995,0.0347537737768267,0.9232821257491728,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",P3_vlm_balanced,accept
train_img23_ann190,outputs/stage10/vlm_topk_inference_manifest/images/train_img23_ann190.jpg,defect_flashover,defect_flashover,insulator_ok,defect_broken,0.8007864549933833,0.1963505954027625,0.6044358595906207,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",P3_vlm_balanced,accept
train_img23_ann191,outputs/stage10/vlm_topk_inference_manifest/images/train_img23_ann191.jpg,defect_flashover,defect_flashover,insulator_ok,defect_broken,0.5784344902852796,0.4103186149904061,0.1681158752948734,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",P3_vlm_balanced,accept
train_img23_ann192,outputs/stage10/vlm_topk_inference_manifest/images/train_img23_ann192.jpg,defect_flashover,defect_flashover,defect_broken,insulator_ok,0.9842230840738108,0.0108536255200187,0.973369458553792,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,The flashover defect is clearly visible as a burn trace on the insulator surface.,P3_vlm_balanced,accept
val_img10_ann1040,outputs/stage10/vlm_topk_inference_manifest/images/val_img10_ann1040.jpg,defect_flashover,defect_flashover,defect_broken,insulator_ok,0.7564768503791772,0.2177193218152731,0.5387575285639041,yes,on_insulator,yes,"['blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",P3_vlm_balanced,accept
val_img17_ann1049,outputs/stage10/vlm_topk_inference_manifest/images/val_img17_ann1049.jpg,defect_flashover,defect_flashover,insulator_ok,defect_broken,0.9467393017922636,0.0401431498028954,0.9065961519893684,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",P3_vlm_balanced,accept
val_img17_ann1050,outputs/stage10/vlm_topk_inference_manifest/images/val_img17_ann1050.jpg,defect_flashover,defect_flashover,insulator_ok,defect_broken,0.8625804590272529,0.132545608064882,0.7300348509623709,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,Direct burn trace on the insulator surface confirms flashover.,P3_vlm_balanced,accept
